iter	Passed	Remaining
0	146	43706
1	154	22998
2	162	16072
3	167	12423
4	173	10260
5	183	8980
6	187	7850
7	192	7013
8	197	6375
9	203	5892
10	210	5527
11	216	5191
12	220	4878
13	230	4714
14	235	4482
15	241	4282
16	247	4125
17	254	3986
18	261	3860
19	268	3765
20	277	3683
21	284	3594
22	292	3525
23	300	3450
24	307	3379
25	312	3289
26	316	3201
27	323	3139
28	327	3062
29	332	2992
30	338	2935
31	343	2874
32	348	2819
33	354	2773
34	359	2724
35	365	2682
36	374	2659
37	378	2609
38	382	2559
39	387	2519
40	394	2489
41	399	2453
42	405	2421
43	409	2381
44	415	2354
45	422	2333
46	427	2299
47	432	2269
48	438	2245
49	442	2213
50	450	2200
51	456	2176
52	460	2144
53	466	2126
54	471	2099
55	476	2077
56	484	2064
57	487	2035
58	491	2009
59	497	1989
60	502	1967
61	506	1942
62	510	1921
63	516	1904
64	521	1884
65	524	1860
66	529	1842
67	533	1818
68	537	1798
69	540	1775
70	547	1765
71	552	1748
72	557	1732
73	563	1722
74	567	1702
75	571	1684
76	578	1674
77	582	1658
78	586	1640
79	591	1626
80	597	1614
81	600	1597
82	606	1585
83	612	1574
84	616	1558
85	620	1544
86	625	1531
87	630	1518
88	633	1502
89	637	1488
90	643	1477
91	646	1462
92	650	1448
93	655	1437
94	659	1423
95	663	1410
96	668	1399
97	674	1391
98	678	1378
99	682	1364
100	687	1354
101	693	1345
102	698	1335
103	704	1327
104	708	1315
105	711	1302
106	715	1290
107	719	1279
108	723	1267
109	727	1256
110	731	1245
111	738	1238
112	741	1227
113	745	1215
114	749	1206
115	754	1197
116	758	1186
117	761	1174
118	766	1166
119	773	1159
120	777	1150
121	785	1145
122	790	1138
123	795	1128
124	802	1123
125	807	1115
126	812	1106
127	816	1097
128	821	1089
129	826	1081
130	832	1073
131	836	1064
132	841	1056
133	846	1048
134	851	1040
135	855	1031
136	860	1023
137	866	1017
138	871	1010
139	876	1001
140	882	995
141	886	986
142	892	980
143	898	973
144	901	964
145	905	954
146	909	946
147	913	938
148	918	930
149	923	923
150	928	916
151	933	908
152	937	901
153	943	894
154	949	888
155	954	880
156	961	876
157	969	871
158	975	865
159	981	858
160	986	851
161	992	845
162	998	838
163	1003	832
164	1008	824
165	1012	817
166	1018	811
167	1025	805
168	1030	798
169	1035	791
170	1042	786
171	1048	780
172	1053	773
173	1058	766
174	1065	760
175	1072	755
176	1076	748
177	1079	740
178	1086	734
179	1091	727
180	1096	720
181	1101	714
182	1108	708
183	1113	701
184	1119	695
185	1125	689
186	1131	683
187	1135	676
188	1141	670
189	1147	664
190	1153	658
191	1157	651
192	1163	645
193	1168	638
194	1173	631
195	1179	625
196	1184	619
197	1190	613
198	1196	607
199	1200	600
200	1205	593
201	1211	587
202	1217	581
203	1223	575
204	1229	569
205	1234	563
206	1239	556
207	1245	550
208	1249	544
209	1254	537
210	1259	531
211	1264	525
212	1268	518
213	1274	512
214	1279	505
215	1283	499
216	1289	493
217	1294	486
218	1298	480
219	1302	473
220	1307	467
221	1312	461
222	1315	454
223	1318	447
224	1323	441
225	1327	434
226	1331	428
227	1334	421
228	1338	415
229	1346	409
230	1351	403
231	1356	397
232	1362	391
233	1368	386
234	1374	380
235	1378	373
236	1386	368
237	1391	362
238	1395	356
239	1400	350
240	1406	344
241	1412	338
242	1418	332
243	1424	326
244	1429	320
245	1434	314
246	1439	308
247	1443	302
248	1449	296
249	1454	290
250	1458	284
251	1463	278
252	1469	273
253	1474	266
254	1478	260
255	1484	255
256	1491	249
257	1498	243
258	1503	237
259	1509	232
260	1514	226
261	1519	220
262	1524	214
263	1527	208
264	1533	202
265	1537	196
266	1541	190
267	1545	184
268	1550	178
269	1555	172
270	1559	166
271	1565	161
272	1569	155
273	1572	149
274	1576	143
275	1580	137
276	1585	131
277	1588	125
278	1591	119
279	1596	114
280	1599	108
281	1603	102
282	1606	96
283	1612	90
284	1616	85
285	1621	79
286	1626	73
287	1631	67
288	1635	62
289	1639	56
290	1646	50
291	1649	45
292	1654	39
293	1661	33
294	1665	28
295	1671	22
296	1675	16
297	1679	11
298	1682	5
299	1686	0
